8	0	12
10	11	13
12	6	16
10	0	12
5	13	16
3	8	16
4	1	12
1	3	14
0	10	12
8	11	15
1	11	16
2	4	16
1	13	14
3	5	16
6	3	12
5	2	13
6	12	16
5	6	15
4	5	15
11	12	16
1	11	15
10	3	12
9	0	15
5	6	14
7	11	12
1	8	16
2	7	15
3	10	15
12	7	12
3	6	13
13	2	14
0	9	12
11	3	13
6	1	12
9	12	15
10	3	14
11	12	14
11	4	16
10	5	12
6	11	13
8	12	16
12	11	14
2	5	13
5	2	12
12	11	16
13	9	15
6	13	16
6	12	16
2	7	16
13	3	13
6	5	13
5	7	15
12	11	14
0	3	13
2	1	13
9	8	12
10	11	13
2	3	14
2	12	13
4	3	12
12	1	16
1	4	16
10	5	15
3	9	15
11	0	15
8	11	12
6	13	12
5	2	14
8	2	15
10	1	16
1	11	14
7	6	13
12	13	16
2	5	14
4	2	12
8	10	12
7	11	16
10	9	15
10	6	13
10	6	14
6	12	12
4	3	16
11	8	16
9	13	13
3	8	15
2	8	12
11	3	16
10	9	15
6	10	13
2	10	16
5	12	13
7	3	14
11	10	12
1	12	13
13	8	16
9	11	14
9	7	12
9	6	16
3	11	12
4	5	14
