10	0	13
10	11	15
6	1	12
8	9	16
7	9	12
9	12	13
11	2	13
5	8	14
13	2	14
13	4	13
0	2	16
12	4	16
2	8	15
12	5	16
7	9	15
12	1	14
10	3	16
2	11	15
9	5	16
1	11	14
3	2	12
2	5	13
9	3	15
1	6	14
8	6	16
9	1	12
0	10	16
11	10	14
1	6	13
1	12	14
0	6	13
6	8	13
0	10	16
13	8	15
4	3	14
6	7	12
12	6	15
11	12	16
4	9	16
1	3	16
2	0	12
11	4	16
7	6	12
0	3	15
3	12	14
2	1	16
0	12	12
12	10	12
6	0	15
9	6	16
10	4	13
12	10	14
7	13	12
3	9	12
7	11	13
6	4	16
13	8	14
13	4	12
3	2	14
12	0	13
9	6	16
12	11	14
2	12	13
12	7	14
2	0	12
11	0	12
0	12	14
11	13	14
3	11	14
5	4	16
6	10	12
12	4	14
8	7	16
9	13	13
7	1	12
2	9	12
7	11	15
12	11	12
3	9	13
7	9	14
9	12	12
10	5	13
11	8	12
6	3	14
8	5	13
0	1	14
13	0	12
5	1	12
0	9	16
4	9	14
0	5	13
5	7	16
4	12	15
7	0	12
7	13	14
4	8	14
8	10	15
4	11	16
4	6	15
9	6	13
12	6	12
7	6	14
9	11	13
7	1	15
8	9	12
12	10	13
8	1	15
4	3	12
12	9	13
6	4	13
2	6	15
13	4	12
5	13	12
4	13	12
2	1	15
10	7	12
10	4	13
2	12	13
12	4	12
7	12	15
11	9	14
11	1	14
8	11	12
6	7	16
5	9	12
0	5	16
13	10	15
1	5	15
7	8	16
13	12	14
13	11	16
13	11	14
11	0	12
3	9	14
13	7	14
6	9	14
3	13	14
8	11	12
12	1	15
12	9	13
9	3	14
0	11	12
8	4	12
4	12	14
12	8	13
1	2	16
4	6	12
12	11	14
9	7	16
3	12	14
